kind,id,name,island,status,image
"historic","cruz-bay-town-historic-district","Cruz Bay Town Historic District","stj","placeholder","/images/historic/placeholder.svg"
"historic","danish-west-india-and-guinea-company-warehouse","Danish West India and Guinea Company Warehouse","stx","placeholder","/images/historic/placeholder.svg"
"historic","dennis-bay-historic-district","Dennis Bay Historic District","stj","placeholder","/images/historic/placeholder.svg"
"historic","diamond-school","Diamond School","stx","placeholder","/images/historic/placeholder.svg"
"historic","east-end-schoolhouse-st-john-us-virgin-islands","East End Schoolhouse: St. John US Virgin Islands","stj","placeholder","/images/historic/placeholder.svg"
"historic","emmaus-moravian-church","Emmaus Moravian Church","stt","placeholder","/images/historic/placeholder.svg"
"historic","emmaus-moravian-church-and-manse","Emmaus Moravian Church and Manse","stj","placeholder","/images/historic/placeholder.svg"
"historic","enighed","Enighed","stj","placeholder","/images/historic/placeholder.svg"
"historic","estate-beverhoudt","Estate Beverhoudt","stj","placeholder","/images/historic/placeholder.svg"
"historic","estate-botany-bay","Estate Botany Bay","stt","placeholder","/images/historic/placeholder.svg"
"historic","estate-brewers-bay","Estate Brewers Bay","stt","placeholder","/images/historic/placeholder.svg"
"historic","estate-butlers-bay","Estate Butler's Bay","stx","placeholder","/images/historic/placeholder.svg"
"historic","estate-carolina-sugar-plantation","Estate Carolina Sugar Plantation","stj","placeholder","/images/historic/placeholder.svg"
"historic","estate-grove-place","Estate Grove Place","stx","placeholder","/images/historic/placeholder.svg"
"historic","estate-hafensight","Estate Hafensight","stt","placeholder","/images/historic/placeholder.svg"
"historic","estate-hogansborg","Estate Hogansborg","stx","placeholder","/images/historic/placeholder.svg"
"historic","estate-judiths-fancy","Estate Judith's Fancy","stx","placeholder","/images/historic/placeholder.svg"
"historic","estate-la-reine","Estate La Reine","stx","placeholder","/images/historic/placeholder.svg"
"historic","estate-little-princess","Estate Little Princess","stx","placeholder","/images/historic/placeholder.svg"
"historic","estate-mount-victory","Estate Mount Victory","stx","placeholder","/images/historic/placeholder.svg"
"historic","estate-neltjeberg","Estate Neltjeberg","stt","placeholder","/images/historic/placeholder.svg"
"historic","estate-niesky","Estate Niesky","stt","placeholder","/images/historic/placeholder.svg"
"historic","estate-perseverance","Estate Perseverance","stt","placeholder","/images/historic/placeholder.svg"
"historic","estate-prosperity","Estate Prosperity","stx","placeholder","/images/historic/placeholder.svg"
"historic","estate-saint-george-historic-district","Estate Saint George Historic District","stx","placeholder","/images/historic/placeholder.svg"
"historic","estate-st-john","Estate St. John","stx","placeholder","/images/historic/placeholder.svg"
"historic","evelyn-e-marcelli-elementary-school","Evelyn E. Marcelli Elementary School","stt","placeholder","/images/historic/placeholder.svg"
"historic","fortsberg","Fortsberg","stj","placeholder","/images/historic/placeholder.svg"
"historic","fortsberg-corral-bay","Fortsberg Corral Bay","stj","placeholder","/images/historic/placeholder.svg"
"historic","friedensfeld-midlands-moravian-church-and-manse","Friedensfeld Midlands Moravian Church and Manse","stx","placeholder","/images/historic/placeholder.svg"
"historic","friedensthal-mission","Friedensthal Mission","stx","placeholder","/images/historic/placeholder.svg"
"historic","government-house-stt","Government House, St. Thomas","stt","placeholder","/images/historic/placeholder.svg"
"historic","green-kay","Green Kay","stx","placeholder","/images/historic/placeholder.svg"
"historic","hamburg-america-shipping-line-administrative-offices","Hamburg-America Shipping Line Administrative Offices","stt","placeholder","/images/historic/placeholder.svg"
"historic","hassel-island-additional-documentation","Hassel Island (Additional Documentation)","stt","placeholder","/images/historic/placeholder.svg"
"historic","hassel-island-creque-marine-railway","Hassel Island Creque Marine Railway","stt","placeholder","/images/historic/placeholder.svg"
"historic","hassel-island-fort-willoughby","Hassel Island Fort Willoughby","stt","placeholder","/images/historic/placeholder.svg"
"historic","hassel-island-historic-district-boundary-increase","Hassel Island Historic District (Boundary Increase)","stt","placeholder","/images/historic/placeholder.svg"
"historic","hermitage-plantation-historic-district","Hermitage Plantation Historic District","stj","placeholder","/images/historic/placeholder.svg"
"historic","holy-cross-episcopal-church","Holy Cross Episcopal Church","stx","placeholder","/images/historic/placeholder.svg"
"historic","jossie-gut-historic-district","Jossie Gut Historic District","stj","placeholder","/images/historic/placeholder.svg"
"historic","kingshill-lutheran-church","Kingshill Lutheran Church","stx","placeholder","/images/historic/placeholder.svg"
"historic","lesperance-historic-district","L'Esperance Historic District","stj","placeholder","/images/historic/placeholder.svg"
"historic","la-grande-princesse-school","La Grande Princesse School","stx","placeholder","/images/historic/placeholder.svg"
"historic","la-grange-historic-district","La Grange Historic District","stx","placeholder","/images/historic/placeholder.svg"
"historic","lameshur-plantation","Lameshur Plantation","stj","placeholder","/images/historic/placeholder.svg"
"historic","liever-marches-bay-historic-district","Liever Marches Bay Historic District","stj","placeholder","/images/historic/placeholder.svg"
"historic","lind-point-fort","Lind Point Fort","stj","placeholder","/images/historic/placeholder.svg"
"historic","little-la-grange","Little La Grange","stx","placeholder","/images/historic/placeholder.svg"
"historic","mafolie-great-house","Mafolie Great House","stt","placeholder","/images/historic/placeholder.svg"
"historic","market-square-pladsen","Market Square (Pladsen)","stt","placeholder","/images/historic/placeholder.svg"
"historic","mary-point-estate","Mary Point Estate","stj","placeholder","/images/historic/placeholder.svg"
"historic","more-hill-historic-district","More Hill Historic District","stj","placeholder","/images/historic/placeholder.svg"
"historic","new-herrnhut-moravian-church","New Herrnhut Moravian Church","stt","placeholder","/images/historic/placeholder.svg"
"historic","peace-hill-ruins","Peace Hill Ruins","stj","placeholder","/images/historic/placeholder.svg"
"historic","reef-bay-great-house-historic-district","Reef Bay Great House Historic District","stj","placeholder","/images/historic/placeholder.svg"
"historic","reef-bay-sugar-factory-historic-district","Reef Bay Sugar Factory Historic District","stj","placeholder","/images/historic/placeholder.svg"
"historic","reef-bay-sugar-mill","Reef Bay Sugar Mill","stj","placeholder","/images/historic/placeholder.svg"
"historic","reformed-dutch-church-stt","Reformed Dutch Church, St. Thomas","stt","placeholder","/images/historic/placeholder.svg"
"historic","richmond-prison-detention-and-workhouse","Richmond Prison Detention and Workhouse","stx","placeholder","/images/historic/placeholder.svg"
"historic","rustenberg-plantation-south-historic-district","Rustenberg Plantation South Historic District","stj","placeholder","/images/historic/placeholder.svg"
"historic","salt-river-bay-national-historic-site-and-ecological-preserve","Salt River Bay National Historic Site and Ecological Preserve","stx","placeholder","/images/historic/placeholder.svg"
"historic","sion-hill","Sion Hill","stx","placeholder","/images/historic/placeholder.svg"
"historic","slob-historic-district","Slob Historic District","stx","placeholder","/images/historic/placeholder.svg"
"historic","sprat-hall-historic-district","Sprat Hall Historic District","stx","placeholder","/images/historic/placeholder.svg"
"historic","st-johns-episcopal-church","St. John's Episcopal Church","stx","placeholder","/images/historic/placeholder.svg"
"historic","strawberry-hill-historic-district","Strawberry Hill Historic District","stx","placeholder","/images/historic/placeholder.svg"
"historic","susannaberg-estate","Susannaberg Estate","stj","placeholder","/images/historic/placeholder.svg"
"historic","trunk-bay-sugar-factory","Trunk Bay Sugar Factory","stj","placeholder","/images/historic/placeholder.svg"
"historic","tutu-plantation-house","Tutu Plantation House","stt","placeholder","/images/historic/placeholder.svg"
"historic","venus-hill","Venus Hill","stt","placeholder","/images/historic/placeholder.svg"
"stay","sapphire-village-resort","Sapphire Village Resort","stt","placeholder","/images/stays/stt/sapphire-village-resort.svg"
"stay","flamboyan-on-the-bay-resort-villas","Flamboyan on the Bay Resort & Villas","stt","placeholder","/images/stays/stt/flamboyan-on-the-bay-resort-villas.svg"
"stay","windward-passage-hotel","Windward Passage Hotel","stt","placeholder","/images/stays/stt/windward-passage-hotel.svg"
"stay","pavilions-and-pools-resort","Pavilions and Pools Resort","stt","placeholder","/images/stays/stt/pavilions-and-pools-resort.svg"
